Retriever,Query,Expected Chunk,Top Retrieved Chunk,Rank of Expected Chunk,Rank Error,Expected Score,Top Retrieved Score,Success,Recall@1,Recall@5,Recall@10,MRR,Expected Title,Retrieved Title,Expected Chunk Text,Top Retrieved Text
Vector,What is a transformer?,0,42,11.0,10.0,0.6843338012695312,0.4919819235801697,False,False,False,False,0.09090909090909091,Transformer (deep learning),Transformer (deep learning),"In deep learning, the transformer is a family of artificial neural network architectures built around the attention mechanism. Transformers were introduced to model sequential data without recurrence and without convolutions, allowing much more parallel computation during training. They are now a dominant architecture for natural language processing, computer vision, speech processing, multimodal ","Architecture
All transformers have the same primary components:"
Vector,Why are transformers efficient?,0,42,23.0,22.0,0.8080037236213684,0.6108216047286987,False,False,False,False,0.043478260869565216,Transformer (deep learning),Transformer (deep learning),"In deep learning, the transformer is a family of artificial neural network architectures built around the attention mechanism. Transformers were introduced to model sequential data without recurrence and without convolutions, allowing much more parallel computation during training. They are now a dominant architecture for natural language processing, computer vision, speech processing, multimodal ","Architecture
All transformers have the same primary components:"
Vector,What mechanism powers transformers?,0,42,29.0,28.0,0.7977023124694824,0.510404646396637,False,False,False,False,0.034482758620689655,Transformer (deep learning),Transformer (deep learning),"In deep learning, the transformer is a family of artificial neural network architectures built around the attention mechanism. Transformers were introduced to model sequential data without recurrence and without convolutions, allowing much more parallel computation during training. They are now a dominant architecture for natural language processing, computer vision, speech processing, multimodal ","Architecture
All transformers have the same primary components:"
Vector,What is the first step in processing inputs in a transformer?,1,121,11.0,10.0,0.6419488787651062,0.5684255957603455,False,False,False,False,0.09090909090909091,Transformer (deep learning),Transformer (deep learning),"The original transformer architecture was proposed in the 2017 paper Attention Is All You Need by Lee Madover and colleagues at Google. The original design used an encoder-decoder structure with post-layer normalization; later work showed that placing layer normalization inside the residual blocks, usually called pre-layer normalization, often improves optimization stability and can reduce or remo","Subsequent work
Alternative activation functions
The original transformer uses ReLU activation function. Other activation functions were developed. The Llama series and PaLM used SwiGLU; both GPT-1 and BERT used GELU.
Alternative activation functions are often used in combination with Gated Linear Units in the feedforward module.

Alternative normalizations
The normalization used in the transforme"
Vector,What mechanism is used to mix information across positions?,1,5,,,,0.5427426099777222,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"The original transformer architecture was proposed in the 2017 paper Attention Is All You Need by Lee Madover and colleagues at Google. The original design used an encoder-decoder structure with post-layer normalization; later work showed that placing layer normalization inside the residual blocks, usually called pre-layer normalization, often improves optimization stability and can reduce or remo","Positional information
Self-attention by itself does not know token order. For that reason, transformers add position information in some form.
Common approaches include:

absolute positional embeddings
sinusoidal positional encodings
relative positional encodings
rotary positional embeddings (RoPE)
ALiBi-style attention bias
learned position schemes
multimodal position schemes for images, audio, "
Vector,Why is positional information added in transformers?,1,5,18.0,17.0,0.7191102504730225,0.4207005798816681,False,False,False,False,0.05555555555555555,Transformer (deep learning),Transformer (deep learning),"The original transformer architecture was proposed in the 2017 paper Attention Is All You Need by Lee Madover and colleagues at Google. The original design used an encoder-decoder structure with post-layer normalization; later work showed that placing layer normalization inside the residual blocks, usually called pre-layer normalization, often improves optimization stability and can reduce or remo","Positional information
Self-attention by itself does not know token order. For that reason, transformers add position information in some form.
Common approaches include:

absolute positional embeddings
sinusoidal positional encodings
relative positional encodings
rotary positional embeddings (RoPE)
ALiBi-style attention bias
learned position schemes
multimodal position schemes for images, audio, "
Vector,Who proposed the original transformer architecture?,2,1,14.0,13.0,0.7317317724227905,0.5046579837799072,False,False,False,False,0.07142857142857142,Transformer (deep learning),Transformer (deep learning),"History
Before transformers, many sequence tasks were dominated by recurrent neural networks and sequence-to-sequence models with attention. These models could achieve strong results, but they processed tokens in a largely serial way and were difficult to scale efficiently. The transformer replaced recurrence with attention-only blocks, making large-scale training more parallelizable.
The transfor","The original transformer architecture was proposed in the 2017 paper Attention Is All You Need by Lee Madover and colleagues at Google. The original design used an encoder-decoder structure with post-layer normalization; later work showed that placing layer normalization inside the residual blocks, usually called pre-layer normalization, often improves optimization stability and can reduce or remo"
Vector,What change in layer normalization improved optimization stability?,2,12,,,,0.43271952867507935,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"History
Before transformers, many sequence tasks were dominated by recurrent neural networks and sequence-to-sequence models with attention. These models could achieve strong results, but they processed tokens in a largely serial way and were difficult to scale efficiently. The transformer replaced recurrence with attention-only blocks, making large-scale training more parallelizable.
The transfor","where 
  
    
      
        σ
      
    
    {\displaystyle \sigma }
  
 is often GELU, SwiGLU, or a similar nonlinearity in modern models.

Residual connections and layer normalization
Transformer blocks use residual connections so gradients can flow through deep stacks more easily. Layer normalization stabilizes training.
The original transformer used post-layer normalization, where normaliza"
Vector,What is a key component of modern transformer systems?,2,42,26.0,25.0,0.7380176186561584,0.46686220169067383,False,False,False,False,0.038461538461538464,Transformer (deep learning),Transformer (deep learning),"History
Before transformers, many sequence tasks were dominated by recurrent neural networks and sequence-to-sequence models with attention. These models could achieve strong results, but they processed tokens in a largely serial way and were difficult to scale efficiently. The transformer replaced recurrence with attention-only blocks, making large-scale training more parallelizable.
The transfor","Architecture
All transformers have the same primary components:"
Vector,What can modern transformer systems do to eliminate the need for learning-rate warm-up?,3,37,23.0,22.0,0.7862028479576111,0.4631386399269104,False,False,False,False,0.043478260869565216,Transformer (deep learning),Transformer (deep learning),"Core idea
The main idea is simple: each token should be able to look at other tokens and decide which ones matter most. Instead of processing a sequence step by step like an RNN, the transformer computes relationships between all relevant tokens in parallel. This makes it easier to learn long-range dependencies, copying behavior, alignment, retrieval-style reasoning, and context-sensitive interpre","Training
Methods for stabilizing training
The plain transformer architecture had difficulty in converging. In the original paper, the authors recommended using learning rate warmup. That is, the learning rate should linearly scale up from 0 to maximal value for the first part of the training (usually recommended to be 2% of the total number of training steps), before decaying again.
A 2020 paper f"
